n01440764 tench
n02177972 weevil
n02190166 fly
n02206856 bee
n02219486 ant
n02226429 grasshopper
n02229544 cricket
n02231487 walking
n02233338 cockroach
n02236044 mantis
n02256656 cicada
n02259212 leafhopper
n02264363 lacewing
n02268443 dragonfly
n02268853 damselfly
n02276258 admiral
n02277742 ringlet
n02279972 monarch
n02280649 cabbage
n02281406 sulphur
n02281787 lycaenid
n02317335 starfish
n02319095 sea
n02321529 sea
n02325366 wood
n02326432 hare
n02328150 Angora
n02342885 hamster
n02346627 porcupine
n02356798 fox
n02361337 marmot
n02363005 beaver
n02364673 guinea
n02389026 sorrel
n02391049 zebra
n02395406 hog
n02396427 wild
n02397096 warthog
n02398521 hippopotamus
n02403003 ox
n02408429 water
n02410509 bison
n02412080 ram
n02415577 bighorn
n02417914 ibex
n02422106 hartebeest
n02422699 impala
n02423022 gazelle
n02437312 Arabian
n02437616 llama
n02441942 weasel
n02442845 mink
n02443114 polecat
n02443484 black-footed
n02444819 otter
n02445715 skunk
n02447366 badger
n02454379 armadillo
n02457408 three-toed
n02480495 orangutan
n02480855 gorilla
n02481823 chimpanzee
n02483362 gibbon
n02483708 siamang
n02484975 guenon
n02486261 patas
n02486410 baboon
n02487347 macaque
n02488291 langur
n02488702 colobus
n02489166 proboscis
n02490219 marmoset
n02492035 capuchin
n02492660 howler
n02493509 titi
n02493793 spider
n02494079 squirrel
n02497673 Madagascar
n02500267 indri
n02504013 Indian
n02504458 African
n02509815 lesser
n02510455 giant
n02514041 barracouta
n02526121 eel
n02536864 coho
n02606052 rock
n02607072 anemone
n02640242 sturgeon
n02641379 gar
n02643566 lionfish
n02655020 puffer
n02666196 abacus
n02667093 abaya
n02669723 academic
n02672831 accordion
n02676566 acoustic
n02687172 aircraft
n02690373 airliner
n02692877 airship
n02699494 altar
n02701002 ambulance
n02704792 amphibian
n02708093 analog
n02727426 apiary
n02730930 apron
n02747177 ashcan
n02749479 assault
n02769748 backpack
n02776631 bakery
n02777292 balance
n02782093 balloon
n02783161 ballpoint
n02786058 Band
n02787622 banjo
n02788148 bannister
n02790996 barbell
n02791124 barber
n02791270 barbershop
n02793495 barn
n02794156 barometer
n02795169 barrel
n02797295 barrow
n02799071 baseball
n02802426 basketball
n02804414 bassinet
n02804610 bassoon
n02807133 bathing
n02808304 bath
n02808440 bathtub
n02814533 beach
n02814860 beacon
n02815834 beaker
n02817516 bearskin
n02823428 beer
n02823750 beer
n02825657 bell
n02834397 bib
n02835271 bicycle-built-for-two
n02837789 bikini
n02840245 binder
n02841315 binoculars
n02843684 birdhouse
n02859443 boathouse
n02860847 bobsled
n02865351 bolo
n02869837 bonnet
n02870880 bookcase
n02871525 bookshop
n02877765 bottlecap
n02879718 bow
n02883205 bow
n02892201 brass
n02892767 brassiere
n02894605 breakwater
n02895154 breastplate
n02906734 broom
n02909870 bucket
n02910353 buckle
n02916936 bulletproof
n02917067 bullet
n02927161 butcher
n02930766 cab
n02939185 caldron
n02948072 candle
n02950826 cannon
n02951358 canoe
n02951585 can
n02963159 cardigan
n02965783 car
n02966193 carousel
n02966687 carpenter's
n02971356 carton
n02974003 car
n02977058 cash
n02978881 cassette
n02979186 cassette
n02980441 castle
n02981792 catamaran
n02988304 CD
n02992211 cello
n02992529 cellular
n02999410 chain
n03000134 chainlink
n03000247 chain
n03000684 chain
n03014705 chest
n03016953 chiffonier
n03017168 chime
n03018349 china
n03026506 Christmas
n03028079 church
n03032252 cinema
n03041632 cleaver
n03042490 cliff
n03045698 cloak
n03047690 clog
n03062245 cocktail
n03063599 coffee
n03063689 coffeepot
n03065424 coil
n03075370 combination
n03085013 computer
n03089624 confectionery
n03095699 container
n03100240 convertible
n03109150 corkscrew
n03110669 cornet
n03124043 cowboy
n03124170 cowboy
n03125729 cradle
n03126707 crane
n03127747 crash
n03127925 crate
n03131574 crib
n03133878 Crock
n03134739 croquet
n03141823 crutch
n03146219 cuirass
n03160309 dam
n03179701 desk
n03180011 desktop
n03187595 dial
n03188531 diaper
n03196217 digital
n03197337 digital
n03201208 dining
n03207743 dishrag
n03207941 dishwasher
n03208938 disk
n03216828 dock
n03218198 dogsled
n03220513 dome
n03223299 doormat
n03240683 drilling
n03249569 drum
n03250847 drumstick
n03255030 dumbbell
n03259280 Dutch
n03271574 electric
n03272010 electric
n03272562 electric
n03290653 entertainment
n03291819 envelope
n03297495 espresso
n03314780 face
n03325584 feather
n03337140 file
n03344393 fireboat
n03345487 fire
n03347037 fire
n03355925 flagpole
n03372029 flute
n03376595 folding
n03379051 football
n03384352 forklift
n03388043 fountain
n03388183 fountain
n03388549 four-poster
n03393912 freight
n03394916 French
n03400231 frying
n03404251 fur
n03417042 garbage
n03424325 gasmask
n03425413 gas
n03443371 goblet
n03444034 go-kart
n03445777 golf
n03445924 golfcart
n03447447 gondola
n03447721 gong
n03450230 gown
n03452741 grand
n03457902 greenhouse
n03459775 grille
n03461385 grocery
n03467068 guillotine
n03476684 hair
n03476991 hair
n03478589 half
n03481172 hammer
n03482405 hamper
n03483316 hand
n03485407 hand-held
n03485794 handkerchief
n03492542 hard
n03494278 harmonica
n03495258 harp
n03496892 harvester
n03498962 hatchet
n03527444 holster
n03529860 home
n03530642 honeycomb
n03532672 hook
n03534580 hoopskirt
n03535780 horizontal
n03538406 horse
n03544143 hourglass
n03584254 iPod
n03584829 iron
n03590841 jack-o'-lantern
n03594734 jean
n03594945 jeep
n03595614 jersey
n03598930 jigsaw
n03599486 jinrikisha
n03602883 joystick
n03617480 kimono
n03623198 knee
n03627232 knot
n03630383 lab
n03633091 ladle
n03637318 lampshade
n03642806 laptop
n03649909 lawn
n03657121 lens
n03658185 letter
n03661043 library
n03662601 lifeboat
n03666591 lighter
n03670208 limousine
n03673027 liner
n03676483 lipstick
n03680355 Loafer
n03690938 lotion
n03691459 loudspeaker
n03692522 loupe
n03697007 lumbermill
n03706229 magnetic
n03709823 mailbag
n03710193 mailbox
n03710637 maillot
n03710721 maillot
n03717622 manhole
n03720891 maraca
n03721384 marimba
n03724870 mask
n03729826 matchstick
n03733131 maypole
n03733281 maze
n03733805 measuring
n03742115 medicine
n03743016 megalith
n03759954 microphone
n03761084 microwave
n03763968 military
n03764736 milk
n03769881 minibus
n03770439 miniskirt
n03770679 minivan
n03773504 missile
n03775071 mitten
n03775546 mixing
n03776460 mobile
n03777568 Model
n03777754 modem
n03781244 monastery
n03782006 monitor
n03785016 moped
n03786901 mortar
n03787032 mortarboard
n03788195 mosque
n03788365 mosquito
n03791053 motor
n03792782 mountain
n03792972 mountain
n03793489 mouse
n03794056 mousetrap
n03796401 moving
n03803284 muzzle
n03804744 nail
n03814639 neck
n03814906 necklace
n03825788 nipple
n03832673 notebook
n03837869 obelisk
n03838899 oboe
n03840681 ocarina
n03841143 odometer
n03843555 oil
n03854065 organ
n03857828 oscilloscope
n03866082 overskirt
n03868242 oxcart
n03868863 oxygen
n03871628 packet
n03873416 paddle
n03874293 paddlewheel
n03874599 padlock
n03876231 paintbrush
n03877472 pajama
n03877845 palace
n03884397 panpipe
n03887697 paper
n03888257 parachute
n03888605 parallel
n03891251 park
n03891332 parking
n03895866 passenger
n03899768 patio
n03902125 pay-phone
n03903868 pedestal
n03908618 pencil
n03908714 pencil
n03916031 perfume
n03920288 Petri
n03924679 photocopier
n03929660 pick
n03929855 pickelhaube
n03930313 picket
n03930630 pickup
n03933933 pier
n03935335 piggy
n03937543 pill
n03938244 pillow
n03942813 ping-pong
n03944341 pinwheel
n03947888 pirate
n03950228 pitcher
n03954731 plane
n03956157 planetarium
n03958227 plastic
n03961711 plate
n03967562 plow
n03970156 plunger
n03976467 Polaroid
n03976657 pole
n03977966 police
n03980874 poncho
n03982430 pool
n03983396 pop
n03991062 pot
n03992509 potter's
n03995372 power
n03998194 prayer
n04004767 printer
n04005630 prison
n04008634 projectile
n04009552 projector
n04019541 puck
n04023962 punching
n04026417 purse
n04033901 quill
n04033995 quilt
n04037443 racer
n04039381 racket
n04040759 radiator
n04041544 radio
n04044716 radio
n04049303 rain
n04065272 recreational
n04067472 reel
n04069434 reflex
n04070727 refrigerator
n04074963 remote
n04081281 restaurant
n04086273 revolver
n04090263 rifle
n04099969 rocking
n04111531 rotisserie
n04116512 rubber
n04118538 rugby
n04118776 rule
n04120489 running
n04125021 safe
n04127249 safety
n04131690 saltshaker
n04133789 sandal
n04136333 sarong
n04141076 sax
n04141327 scabbard
n04141975 scale
n04146614 school
n04147183 schooner
n04149813 scoreboard
n04152593 screen
n04153751 screw
n04154565 screwdriver
n04162706 seat
n04179913 sewing
n04192698 shield
n04200800 shoe
n04201297 shoji
n04204238 shopping
n04204347 shopping
n04208210 shovel
n04209133 shower
n04209239 shower
n04228054 ski
n04229816 ski
n04235860 sleeping
n04238763 slide
n04239074 sliding
n04243546 slot
n04251144 snorkel
n04252077 snowmobile
n04252225 snowplow
n04254120 soap
n04254680 soccer
n04254777 sock
n04258138 solar
n04259630 sombrero
n04263257 soup
n04264628 space
n04265275 space
n04266014 space
n04270147 spatula
n04273569 speedboat
n04275548 spider
n04277352 spindle
n04285008 sports
n04286575 spotlight
n04296562 stage
n04310018 steam
n04311004 steel
n04311174 steel
n04317175 stethoscope
n04325704 stole
n04326547 stone
n04328186 stopwatch
n04330267 stove
n04332243 strainer
n04335435 streetcar
n04336792 stretcher
n04344873 studio
n04346328 stupa
n04347754 submarine
n04350905 suit
n04355338 sundial
n04355933 sunglass
n04356056 sunglasses
n04357314 sunscreen
n04366367 suspension
n04367480 swab
n04370456 sweatshirt
n04371430 swimming
n04371774 swing
n04372370 switch
n04376876 syringe
n04380533 table
n04389033 tank
n04392985 tape
n04398044 teapot
n04399382 teddy
n04404412 television
n04409515 tennis
n04417672 thatch
n04418357 theater
n04423845 thimble
n04428191 thresher
n04429376 throne
n04435653 tile
n04442312 toaster
n04443257 tobacco
n04447861 toilet
n04456115 torch
n04458633 totem
n04461696 tow
n04462240 toyshop
n04465501 tractor
n04467665 trailer
n04476259 tray
n04479046 trench
n04482393 tricycle
n04483307 trimaran
n04485082 tripod
n04486054 triumphal
n04487081 trolleybus
n04487394 trombone
n04493381 tub
n04501370 turnstile
n04505470 typewriter
n04507155 umbrella
n04509417 unicycle
n04515003 upright
n04517823 vacuum
n04522168 vase
n04523525 vault
n04525038 velvet
n04525305 vending
n04532106 vestment
n04532670 viaduct
n04536866 violin
n04540053 volleyball
n04542943 waffle
n04548280 wall
n04548362 wallet
n04550184 wardrobe
n04552348 warplane
n04553703 washbasin
n04554684 washer
n04557648 water
n04560804 water
n04562935 water
n04579145 whiskey
n04579432 whistle
n04584207 wig
n04589890 window
n04590129 window
n04591157 Windsor
n04591713 wine
n04592741 wing
n04596742 wok
n04597913 wooden
n04599235 wool
n04604644 worm
n04606251 wreck
n04612504 yawl
n04613696 yurt
n06359193 web
n06596364 comic
n06785654 crossword
n06794110 street
n06874185 traffic
n07248320 book
n07565083 menu
n07579787 plate
n07583066 guacamole
n07584110 consomme
n07590611 hot
n07613480 trifle
n07614500 ice
n07615774 ice
n07684084 French
n07693725 bagel
n07695742 pretzel
n07697313 cheeseburger
n07697537 hotdog
n07711569 mashed
n07714571 head
n07714990 broccoli
n07715103 cauliflower
n07716358 zucchini
n07716906 spaghetti
n07717410 acorn
n07717556 butternut
n07718472 cucumber
n07718747 artichoke
n07720875 bell
n07730033 cardoon
n07734744 mushroom
n07742313 Granny
n07745940 strawberry
n07747607 orange
n07749582 lemon
n07753113 fig
n07753275 pineapple
n07753592 banana
n07754684 jackfruit
n07760859 custard
n07768694 pomegranate
n07802026 hay
n07831146 carbonara
n07836838 chocolate
n07860988 dough
n07871810 meat
n07873807 pizza
n07875152 potpie
n07880968 burrito
n07892512 red
n07920052 espresso
n07930864 cup
n07932039 eggnog
n09193705 alp
n09229709 bubble
n09246464 cliff
n09256479 coral
n09288635 geyser
n09332890 lakeside
n09399592 promontory
n09421951 sandbar
n09428293 seashore
n09468604 valley
n09472597 volcano
n09835506 ballplayer
n10148035 groom
n10565667 scuba
n11879895 rapeseed
n11939491 daisy
n12057211 yellow
n12144580 corn
n12267677 acorn
n12620546 hip
n12768682 buckeye
n12985857 coral
n12998815 agaric
n13037406 gyromitra
n13040303 stinkhorn
n13044778 earthstar
n13052670 hen-of-the-woods
n13054560 bolete
n13133613 ear
n15075141 toilet
